side,move,elapsed_seconds,x,y,z,outward_progress,gate_links,panels_open,time_scale,image
north,0,0.001,0.000,0.083,34.000,34.000,0,false,1.00,north_00.png
north,1,0.123,0.000,0.083,34.550,34.550,0,false,1.00,north_01.png
north,2,0.246,0.000,0.083,35.100,35.100,0,false,1.00,north_02.png
north,3,0.370,0.000,0.083,35.650,35.650,0,false,1.00,north_03.png
north,4,0.495,0.000,0.083,36.200,36.200,0,false,1.00,north_04.png
north,5,0.640,0.000,0.083,36.750,36.750,0,false,1.00,north_05.png
north,6,0.768,0.000,0.083,37.300,37.300,0,false,1.00,north_06.png
north,7,0.896,0.000,0.083,37.850,37.850,0,false,1.00,north_07.png
north,8,1.041,0.000,0.083,38.400,38.400,0,false,1.00,north_08.png
north,9,1.180,0.000,0.083,38.950,38.950,0,false,1.00,north_09.png
north,10,1.311,0.000,0.083,39.500,39.500,0,false,1.00,north_10.png
north,11,1.445,0.000,0.083,40.050,40.050,0,false,1.00,north_11.png
north,12,1.578,0.000,0.083,40.600,40.600,0,false,1.00,north_12.png
north,13,1.708,0.000,0.083,41.150,41.150,0,false,1.00,north_13.png
north,14,1.839,0.000,0.083,41.700,41.700,0,false,1.00,north_14.png
north,15,1.973,0.000,0.083,42.250,42.250,0,false,1.00,north_15.png
north,16,2.104,0.000,0.083,42.800,42.800,0,false,1.00,north_16.png
north,17,2.237,0.000,0.083,43.350,43.350,0,false,1.00,north_17.png
north,18,2.374,0.000,0.083,43.900,43.900,0,false,1.00,north_18.png
north,19,2.513,0.000,0.083,44.450,44.450,0,false,1.00,north_19.png
north,20,2.635,0.000,0.083,45.000,45.000,0,false,1.00,north_20.png
north,21,2.774,0.000,0.083,45.550,45.550,0,false,1.00,north_21.png
north,22,2.896,0.000,0.083,46.100,46.100,0,false,1.00,north_22.png
south,0,0.000,0.000,0.083,-34.000,34.000,0,true,1.00,south_00.png
south,1,0.125,0.000,0.083,-34.550,34.550,0,true,1.00,south_01.png
